High Allele line 1-1	High Allele line 1-2	High Allele line 1-3	High Allele line 2-1	High Allele line 2-2	High Allele line 2-3	High Allele line 3-1	High Allele line 3-2	High Allele line 3-3	Low Allele line 1-1	Low Allele line 1-2	Low Allele line 1-3	Low Allele line 2-1	Low Allele line 2-2	Low Allele line 2-3	Low Allele line 3-1	Low Allele line 3-2	Low Allele line 3-3	Col-0	Col-0
30	28	25	34	32	34	29	34	24	30	37	25	37	30	25	37	26	34	23	24
34	25	36	32	32	38	30	26	29	33		30	36	28	32	36	28	34	23	24
35	30	32	34	34	36	30	29	28	37		29	33	25	30	36	33	33	23	24
35	27	30	36	34	35	30	27	30			28	24	28	32	37	37	34	23	23
	32			34		29		30			24	26	29	25			36	25	29
				34		35					30	30	30					22	29
											28		34					21	
											32							28	
