High Allele line 1-1	High Allele line 1-2	High Allele line 1-3	High Allele line 2-1	High Allele line 2-2	High Allele line 2-3	High Allele line 3-1	High Allele line 3-2	High Allele line 3-3	Low Allele line 1-1	Low Allele line 1-2	Low Allele line 1-3	Low Allele line 2-1	Low Allele line 2-2	Low Allele line 2-3	Low Allele line 3-1	Low Allele line 3-2	Low Allele line 3-3	Col-0	Col-0
25	10	23	18	23	13	20	24	35	30	32	33	23	23	27	25	31	31	16	20
21	26	20	8	27	10	26	23	13	28	37	17	22	26	25	27	33	35	13	20
9	13	11	6	25	24	20	24	28	33	38	15	23	21	24	29	18	34	16	20
9	12	21	32	26	12	21	14	23	32	36	13	35	25	28	26	31	27	11	20
20	22		26	26	22	22	14	25	36	34	15	29	25	23	25	40	36	20	23
25	24		23	20	45	23	19	22	30	41	15	25	27	9	21	27	NA	20	21
9	21		20					30						19			NA		24
17								22									23		
