distribution	N1_recent	N2_recent	N2_ancient	Nanc12	T_N2_ancient	T_merge_2_into_1
posterior_neuralnet	3.55971676791157	3.51173038705535	0.402636742136834	2.7752905275396	0.00997331267671329	0.0636157281889271
posterior_neuralnet	2.11982668204452	4.24799989446901	0.511535526624021	2.29722931762986	0.00292395811431693	0.0545033329712133
posterior_neuralnet	3.22387821582947	1.80758563803706	0.505646154762955	1.85409166757217	0.0164631336809247	0.0791741873371548
posterior_neuralnet	6.12935508535086	1.64671207026827	0.379813197579507	2.9777768039175	0.0423204950478567	0.0740805168485126
posterior_neuralnet	4.75453404334099	1.54264639440221	0.662592796662791	2.07344192495694	0.0334981975064666	0.0824450606955419
posterior_neuralnet	3.91802971995627	1.24881549914774	0.497054742327627	1.85424120160878	0.0222508869927759	0.0542493738097512
posterior_neuralnet	3.73073228975694	1.68524705918968	0.684740050162164	3.64508250169549	0.0146608592775367	0.0683399627719353
posterior_neuralnet	4.01148942922127	6.35579670632303	1.45013057578957	1.71872374421618	0.00812009276037959	0.0591263120901776
posterior_neuralnet	1.5171970128605	1.91169399833698	1.09738420536878	1.97704585718091	0.0353818995154727	0.0558621548377009
posterior_neuralnet	1.88779990836265	3.4475115471437	1.25822257342728	2.23630034696331	0.0116173654384521	0.0425719514136116
posterior_neuralnet	2.72962293192095	4.04530604690217	1.76352695798283	2.06290502657194	0.0001850239114078	0.0400925168489837
posterior_neuralnet	4.041045718197	1.12109578685825	0.764751664433917	2.02526498326397	0.0058862640377162	0.0564755293125181
posterior_neuralnet	4.7486510455176	1.45130884512799	0.85175543483306	1.71280575024511	0.00541584193292933	0.0611144063586154
posterior_neuralnet	2.33914571833015	2.04913641399698	0.763277203309204	2.36520008106601	0.004262761690223	0.0905182402286145
posterior_neuralnet	2.1343897505649	4.52188637696009	1.59558919401406	1.78394383256316	0.0335711124037775	0.0765641123667382
posterior_neuralnet	2.53563452979088	1.08582048098946	0.38140164169567	2.47033416998182	0.0238986558933698	0.0546686809890285
posterior_neuralnet	2.17734945307195	1.49253065424202	0.2846954341603	1.71338195220295	0.0189708298146463	0.059076236648057
posterior_neuralnet	2.32216922299257	3.56090616646022	1.42456555567936	1.71464491107259	0.00607515240602215	0.069255116725305
posterior_neuralnet	1.80841888992334	4.60539390562228	1.16175476078891	1.86826445244143	0.00722859708762072	0.0589940081582573
posterior_neuralnet	2.27476577932696	1.29449583381562	0.648818666498549	4.67499378965649	0.0190880882444639	0.0548723595761096
posterior_neuralnet	1.31463815273923	1.49393552855973	0.508795648231486	1.86208353480265	0.0161965935963196	0.0617683124860203
posterior_neuralnet	2.24505752798282	3.51832040819387	0.628861333140491	1.81393960520447	0.0065243684393172	0.0516554811545187
posterior_neuralnet	5.53167369591772	1.29833328705031	0.460226265311296	2.21269162665611	0.0380132060635955	0.0573139574589507
posterior_neuralnet	3.02376565143869	1.28113906175506	0.510465500699856	2.23093838249126	0.0177244171375099	0.0709740340245236
posterior_neuralnet	2.46603323164162	3.00747676920642	0.513776121723821	2.27143416870494	0.0058745736851741	0.0606290073843748
posterior_neuralnet	2.07624829732642	1.99036301311806	0.452787260862173	1.98611306820911	0.0342541972729295	0.0477760519912369
posterior_neuralnet	7.37760737906631	2.01455649735107	0.421651007761683	2.60473176124093	0.0214777102684695	0.0597994254320856
posterior_neuralnet	2.96532473546345	4.60484064381675	1.41801731675918	1.94177673804214	0.00596092015986602	0.0475114567915354
posterior_neuralnet	2.69486062974667	2.67361562872954	0.955644666240754	2.76544928359552	0.0191335762427325	0.0452888446354589
posterior_neuralnet	1.59812805987193	1.77930293765107	0.588838431491918	2.18633187452634	0.00608716481754649	0.0620643833641127
posterior_neuralnet	2.03138682351879	1.88483197695028	0.360137324084037	2.20409010695832	0.0121172910843406	0.0456123997613235
posterior_neuralnet	2.39980299021202	1.46850563845132	0.651207810158235	2.65590155874773	0.0432004735529305	0.0855939437797549
posterior_neuralnet	6.38310876319923	2.62142386044066	0.304615604487188	2.58762290395352	0.00765328750526017	0.0519441631397887
posterior_neuralnet	4.59489926851847	2.94805599526945	1.02971578576781	1.94561063003784	0.00753627266323163	0.0767278172050524
posterior_neuralnet	2.73653059242283	2.58681721423771	0.637017193966746	2.0221260375177	0.0202229534714163	0.0505393102833908
posterior_neuralnet	3.39840164168716	1.62604508065019	0.564172794856294	1.97696045667722	0.0180740146089323	0.0501172520933838
posterior_neuralnet	1.63945517634627	1.57928289500797	1.00257760861801	2.89121871640098	0.000589015640762566	0.0568504855478303
posterior_neuralnet	3.05355572674811	2.04918503648527	0.391191060279226	2.15459844148906	0.012699700799681	0.0545029657828023
posterior_neuralnet	1.22558677934306	2.06176922148739	0.210809623148551	2.52393853509365	0.0458653078180261	0.0642064768510848
posterior_neuralnet	3.60894366338848	1.89651026076386	0.755989941055465	2.31802157764596	0.013491208022967	0.0939311937595839
posterior_neuralnet	3.64929038819376	4.09840533582012	0.662834292969631	2.97339839317761	0.0280294620995542	0.0504034402042849
posterior_neuralnet	3.48138259729507	2.06138174236442	0.720110208737533	4.17895488608155	0.00309289353276842	0.0691120578019073
posterior_neuralnet	4.18075225877752	1.64402695208048	0.492111914169866	2.19495771713721	0.0270744683411141	0.051791230505223
posterior_neuralnet	0.997506978403688	5.52155365667041	0.866108463528769	2.73903125816222	0.00493928500103375	0.0408067474452053
posterior_neuralnet	5.91103571730803	1.81964627918891	1.03652727057703	2.05618596971751	0.0141399043444703	0.0668301745342483
