Population	Latitude	Longitude	Altitude	Nr_Total	Nr_High	Nr_Low	FreqHigh	FreqLow
La_Sagne	44.81554	6.55708	1016	8	8	0	1.0	0.0
Brison	45.74356	5.88787	206	9	9	0	1.0	0.0
Monte_San_Salvatore	45.97535	8.94437	828	9	9	0	1.0	0.0
Monte_Caslano	45.96053	8.88331	332	8	8	0	1.0	0.0
Bre	46.015366	8.997327	843	8	8	0	1.0	0.0
Weissenbach	46.78907	11.34521	1774	9	9	0	1.0	0.0
Polsa	45.76645	10.93891	1350	20	11	9	0.55	0.45
Rifugio_Graziani	45.79879	10.89384	1566	28	18	10	0.6428571428571429	0.35714285714285715
Forte_San_Marco_Low	45.58667	10.82507	235	23	5	18	0.21739130434782608	0.782608695652174
Forte_San_Marco_High	45.60342	10.83646	500	26	8	18	0.3076923076923077	0.6923076923076923
Lumini	45.6323	10.78035	1051	25	11	14	0.44	0.56
Dinaric_Fortress	44.01656	16.41536	706	13	0	13	0.0	1.0
Dubrava	43.50821	16.62378	471	15	15	0	1.0	0.0
Vlaka	42.73623	18.10106	525	17	0	17	0.0	1.0
Kapetanovo_Jezero	42.81644	19.23043	1741	23	2	21	0.08695652173913043	0.9130434782608695
Mostar	43.24777	17.96645	827	19	19	0	1.0	0.0
Rotspitze	47.01897	12.24097	2070	4	0	4	0.0	1.0
Laserzsee	46.76672	12.80041	2232	3	0	3	0.0	1.0
Thumel	45.53495	7.10119	1940	9	9	0	1.0	0.0
Santis	47.25076	9.44518	1512	8	6	2	0.75	0.25
Poschiavo	46.39029	10.10207	1874	8	6	2	0.75	0.25
Kotor	42.42223	18.7855	629.7	16	14	2	0.875	0.125
Valbone	42.4101	19.8174	1530-1800	20	14	6	0.7	0.3
Tschessa_Granda	46.619239	9.995342	1700	8	7	1	0.875	0.125
Sneznik	45.565373	14.318294	1000	4	0	4	0.0	1.0
Komen	45.841944	13.772181	294	6	0	6	0.0	1.0
Ucka	45.2842	14.20205	1400	4	2	2	0.5	0.5
Vela_Draga	45.316517	14.169567	470	4	0	4	0.0	1.0
