Population	Motherline	Flowering_date(d)	Rosette_diameter(mm)	N_leaves_on_stalk	Stalk_width(mm)	Stalk_hight(mm)	Calyx_width(mm)	Petal_area(mm)	Petal_length(mm)	Petal_width(mm)	Flower_length(mm)	Bract_length(mm)	Bract_width(mm)	Calyx_length(mm)	Ovary_length(mm)	Ovary_width(mm)	Ecotype
Mauvoisin	Lac_31	10	101.7	4	1.1	82.9	3.3	67.5	8.7	9.2	18.4	8.1	5.8	16.7	7	2.6	Ds_high
Mauvoisin	Lac_31	10	101.7	2	1.1	42.3	3.5	52.6	7.3	9.5	18.5	9.8	5	18.5	6.755555556	2	Ds_high
Mauvoisin	Lac_31	15	98.2	2	1.5	90.7	3.7	103.5	11.3	10.9	21.5	6.5	4.2	20.9	6.8	2.2	Ds_high
Mauvoisin	Lac_32	10	89.6	4	1	75.7	3.4	92.1	10.6	12.1	20.5	5.9	5	16	6.6	2.3	Ds_high
Mauvoisin	Lac_32	11	109.6	4	1.2	138.9	4.2	48.9	6.9	8.4	15.8	5	4.9	14.5	6.6	2.2	Ds_high
Mauvoisin	Lac_32	17	106.2	4	1.1	48	3.5	87.9	8.1	12.2	21	5.9	5.7	18.8	7.1	1.6	Ds_high
Mauvoisin	Lac_33	10	108.9	6	0.9	97.9	3.3	67.9	9.1	9.7	21.1	6.6	4.6	17.4	0.7	1.8	Ds_high
Mauvoisin	Lac_33	11	81.4	6	1.3	148.3	3.8	139	10.7	15.1	26	7	5.6	20.7	8.2	2.3	Ds_high
Mauvoisin	Lac_33	11	99.6	4	0.7	81.9	2	78.1	8.1	12.3	20.7	7.7	7	20.2	7.6	2.1	Ds_high
Mauvoisin	Lac_33	11	96	6	1	96.2	3.5	76.5	8.7	10.5	22.7	7.5	5.4	19.3	7	1.9	Ds_high
Mauvoisin	Lac_33	11	104.4	6	1.5	155.7	3.6	112	11.1	12.6	22.9	8.3	4.6	20	6.8	1.4	Ds_high
Mauvoisin	Lac_34	10	85.1	4	1.3	75.7	3.9	85	9.2	11.3	22.9	8.6	6.1	19.7	6.755555556	2.4	Ds_high
Mauvoisin	Lac_34	11	116.6	4	0.8	117.9	4	81.7	9.9	10.2	22.6	6.9	4.8	19.4	6.7	2	Ds_high
Mauvoisin	Lac_34	13	122.6	6	0.9	94.5	3.6	94.7	9.5	12	23.7	6.4	5.9	19.4	7.6	2	Ds_high
Mauvoisin	Lac_35	7	116.3	4	1.3	117.3	4.1	88.7	8.8	12.3	20.6	8.2	5.1	18.3	6.755555556	2.079545455	Ds_high
Mauvoisin	Lac_35	9	75	4	1.4	122.2	4.9	103	9.4	13.2	19.9	8.9	6.6	18.9	7.6	2.6	Ds_high
Mauvoisin	Lac_35	13	109.2	6	1.2	127.4	3.5	92.2	10.3	11.7	21.4	7	4.7	20.5	7.7	2	Ds_high
Mauvoisin	Lac_40	7	135.7	6	1.2	136.9	4.2	63.5	7.3	10.4	19.4	9	6.5	17.8	6.755555556	2.079545455	Ds_high
Mauvoisin	Lac_40	9	135.7	4	1.4	113.7	4.4	47.5	6.8	8.5	16.2	8.4	4.4	16.1	6.6	2.2	Ds_high
Mauvoisin	Lac_41	7	87.7	4	1.4	125.6	3.9	50.1	8.5	7.6	20.5	7.6	6	18.7	6.755555556	2.079545455	Ds_high
Mauvoisin	Lac_41	10	104.3	4	1	109.5	3.2	59.2	8.4	9.6	16	7.5	3.5	18.2	7.1	2	Ds_high
Mauvoisin	Lac_41	10	86	6	1	112.2	2.9	77.5	10.2	9.3	22.1	7.5	4.4	20.2	6.8	2.2	Ds_high
Mauvoisin	Lac_41	17	114.5	4	1	112.7	3.7	100.1	11.1	11.4	23.5	7	4.4	22.3	8.7	2	Ds_high
