"Dsyl_CEN_selection_time" "Dsyl_CEN_selection_density" "Dsyl_TCF1_selection_time" "Dsyl_TCF1_selection_density" "Dcar_TCF1_selection_time" "Dcar_TCF1_selection_density" "Dcar_FT_selection_time" "Dcar_FT_selection_density"
-0.861610734275259 7.37004519953392e-06 -2.29614823515213 6.52921834465815e-06 -2.55450136571979 6.46523418433949e-06 -4.29065580785342 6.82940995882884e-06
-0.856022835119583 1.05344298541751e-05 -2.2866771070302 9.28204454132343e-06 -2.54545680068762 9.44505829542115e-06 -4.27638079490683 9.45173899505515e-06
-0.850434935963907 1.48323685692269e-05 -2.27720597890827 1.29879685059181e-05 -2.53641223565545 1.3543327584436e-05 -4.26210578196024 1.28980882010696e-05
-0.84484703680823 2.06104697009896e-05 -2.26773485078635 1.78943233552961e-05 -2.52736767062328 1.90677477054961e-05 -4.24783076901365 1.73608092367471e-05
-0.839259137652554 2.85664268490399e-05 -2.25826372266442 2.4285027688544e-05 -2.51832310559111 2.63687803709945e-05 -4.23355575606706 2.30569032422331e-05
-0.833671238496878 3.89865585015658e-05 -2.2487925945425 3.24783111506879e-05 -2.50927854055894 3.58318057274664e-05 -4.21928074312047 3.02260192694122e-05
-0.828083339341202 5.24128443342336e-05 -2.23932146642057 4.28221782775636e-05 -2.50023397552676 4.7864261948271e-05 -4.20500573017389 3.91269981078388e-05
-0.822495440185526 6.94392185271587e-05 -2.22985033829864 5.56873830529597e-05 -2.49118941049459 6.2877371587558e-05 -4.1907307172273 5.04089564921827e-05
-0.81690754102985 9.06988780623434e-05 -2.22037921017672 7.1579929832892e-05 -2.48214484546242 8.12623060582214e-05 -4.17645570428071 6.40908347321701e-05
-0.811319641874173 0.000116846949350947 -2.21090808205479 9.12308765703691e-05 -2.47310028043025 0.000103383750615208 -4.16218069133412 8.04087677843677e-05
-0.805731742718497 0.000148538566657582 -2.20143695393286 0.000114639086093128 -2.46405571539808 0.000130023159902609 -4.14790567838753 9.95784523125233e-05
-0.800143843562821 0.000186402566359689 -2.19196582581094 0.000142088633742858 -2.45501115036591 0.000160716992025741 -4.13363066544094 0.000121763566848824
-0.794555944407145 0.000231434726225618 -2.18249469768901 0.000173789488479226 -2.44596658533374 0.000195307960269297 -4.11935565249435 0.00014705917218974
-0.788968045251469 0.000284418936575286 -2.17302356956709 0.000209860833209159 -2.43692202030156 0.000233417878539503 -4.10508063954777 0.000175475366102948
-0.783380146095793 0.000344979081959088 -2.16355244144516 0.000250317853795259 -2.42787745526939 0.000274431215807879 -4.09080562660118 0.000206921785922276
-0.777792246940116 0.000413160684937303 -2.15408131332323 0.000295063182433569 -2.41883289023722 0.000317492283302412 -4.07653061365459 0.000241537156303032
-0.77220434778444 0.000488789606900233 -2.14461018520131 0.000343884143615109 -2.40978832520505 0.000361517959335032 -4.062255600708 0.000278475116556609
-0.766616448628764 0.000571454016211806 -2.13513905707938 0.000396794466646647 -2.40074376017288 0.000405227169401623 -4.04798058776141 0.000317144221076355
-0.761028549473088 0.000660494847417582 -2.12566792895746 0.000453030772334998 -2.39169919514071 0.000447187628139274 -4.03370557481482 0.000356881963977286
-0.755440650317412 0.000755005595494624 -2.11619680083553 0.000511921863957134 -2.38265463010854 0.000485215763324469 -4.01943056186823 0.000396932248591601
-0.749852751161736 0.000853842055074642 -2.1067256727136 0.000572978914986253 -2.37361006507636 0.000517975463321441 -4.00515554892164 0.000436471307030305
-0.744264852006059 0.000955734340932714 -2.09725454459168 0.000635773210018495 -2.36456550004419 0.00054421061603653 -3.99088053597505 0.000474639721233792
-0.738676952850383 0.00105857816556368 -2.08778341646975 0.00069998962475104 -2.35552093501202 0.000562873812514499 -3.97660552302847 0.000510580087308593
-0.733089053694707 0.0011605113484428 -2.07831228834783 0.000765481532649675 -2.34647636997985 0.000573242678609673 -3.96233051008188 0.000542922558187896
-0.727501154539031 0.00125976295150135 -2.0688411602259 0.000832325221193644 -2.33743180494768 0.000574974544272653 -3.94805549713529 0.000571261905922124
-0.721913255383355 0.00135457397125618 -2.05937003210397 0.000900933028562977 -2.32838723991551 0.000568140330129751 -3.9337804841887 0.000595264499819467
-0.716325356227679 0.00144324876697255 -2.04989890398205 0.000972512249177662 -2.31934267488334 0.000553235479778641 -3.91950547124211 0.000614760846857157
-0.710737457072002 0.00152420323151318 -2.04042777586012 0.0010481320209371 -2.31029810985116 0.000531166829559878 -3.90523045829552 0.000629849085889315
-0.705149557916326 0.00159600845337817 -2.03095664773819 0.00112948252078416 -2.30125354481899 0.000502806549284228 -3.89095544534893 0.000640917688406893
-0.69956165876065 0.00165742882722555 -2.02148551961627 0.00121864580062323 -2.29220897978682 0.000470584430482439 -3.87668043240235 0.000648659007330654
-0.693973759604974 0.00170568259050757 -2.01201439149434 0.00131807531272231 -2.28316441475465 0.000436549314559611 -3.86240541945576 0.000654073000276427
-0.688385860449298 0.00174161706291359 -2.00254326337242 0.00143056006970223 -2.27411984972248 0.000402629930966449 -3.84813040650917 0.000658629271576696
-0.682797961293622 0.00176497576677904 -1.99307213525049 0.0015591727917657 -2.26507528469031 0.000370720611528341 -3.83385539356258 0.000664477981051053
-0.677210062137946 0.00177573635521353 -1.98360100712856 0.00170720143927913 -2.25603071965814 0.000342597950528203 -3.81958038061599 0.000673590304024983
